session,round,agent,type,product,price,volume
13527972081,1,INT:KonsumentE1:A,K,A,2.1172408745709776,7.612933914606103
13527972081,1,INT:KonsumentE0:A,K,A,2.1172408745709776,7.614375203472374
13527972081,1,INT:KonsumentE4:A,K,A,2.1172408745709776,7.658077028691542
13527972081,1,INT:KonsumentE3:A,K,A,2.1172408745709776,7.733214122471101
13527972081,1,INT:KonsumentE2:A,K,A,2.1172408745709776,7.789965150963053
13527972081,1,G14A:Agent1,K,A,2.0,12.0
13527972081,1,INT:ProduzentS0:A,V,A,0.6703445247425865,6.993576460087159
13527972081,1,INT:ProduzentE2:A,V,A,0.6703445247425865,7.498919142247848
13527972081,1,INT:ProduzentE3:A,V,A,0.6703445247425865,7.618406938200832
13527972081,1,INT:ProduzentE6:A,V,A,0.6703445247425865,7.626377573859067
13527972081,1,INT:ProduzentE1:A,V,A,0.6703445247425865,7.627639378853221
13527972081,1,INT:ProduzentE5:A,V,A,0.6703445247425865,7.641229313126676
13527972081,1,INT:ProduzentE0:A,V,A,0.6703445247425865,7.7107777171539595
13527972081,1,INT:ProduzentE4:A,V,A,0.6703445247425865,7.755291734053829
13527972081,1,INT:KonsumentE5:B,K,B,2.117240874570977,5.63998685481162
13527972081,1,INT:KonsumentE6:B,K,B,2.117240874570977,5.670952643906865
13527972081,1,G36A:Reaktion,K,B,58.4778752325559,5.700161505658801
13527972081,1,INT:KonsumentE8:B,K,B,2.117240874570977,5.740320909517287
13527972081,1,INT:KonsumentE9:B,K,B,2.117240874570977,5.753917326990098
13527972081,1,INT:KonsumentE7:B,K,B,2.117240874570977,5.763788612541711
13527972081,1,G14A:Agent1,K,B,2.0,8.0
13527972081,1,INT:ProduzentS1:B,V,B,0.6703445247425864,5.076387332586603
13527972081,1,INT:ProduzentE7:B,V,B,0.6703445247425864,5.604713075181073
13527972081,1,INT:ProduzentE13:B,V,B,0.6703445247425864,5.621488569520015
13527972081,1,INT:ProduzentE10:B,V,B,0.6703445247425864,5.649109782236407
13527972081,1,INT:ProduzentE8:B,V,B,0.6703445247425864,5.677176138467525
13527972081,1,INT:ProduzentE11:B,V,B,0.6703445247425864,5.690480271453059
13527972081,1,INT:ProduzentE9:B,V,B,0.6703445247425864,5.698090325976165
13527972081,1,INT:ProduzentE12:B,V,B,0.6703445247425864,5.803778510160797
13527972081,1,G25A:Diablo,K,C,1.0,2.999999999999999
13527972081,1,G25A:Diablo,K,C,1.0,3.1999999999999993
13527972081,1,G25A:Diablo,K,C,1.0,3.3999999999999995
13527972081,1,G25A:Diablo,K,C,1.0,3.5999999999999996
13527972081,1,G25A:Diablo,K,C,1.0,3.8
13527972081,1,G25A:Diablo,K,C,1.0,4.0
13527972081,1,INT:KonsumentE10:C,K,C,2.48965449942797,6.696000246012818
13527972081,1,INT:KonsumentE12:C,K,C,2.48965449942797,6.699494709960685
13527972081,1,G36A:Reaktion,K,C,49.32943527471658,6.75729068206424
13527972081,1,INT:KonsumentE13:C,K,C,2.48965449942797,6.780374549638156
13527972081,1,INT:KonsumentE11:C,K,C,2.48965449942797,6.794973591780416
13527972081,1,INT:KonsumentE14:C,K,C,2.48965449942797,6.81722322397394
13527972081,1,INT:ProduzentS2:C,V,C,1.340689049485173,6.251430283564342
13527972081,1,INT:ProduzentE17:C,V,C,1.340689049485173,6.70324612450443
13527972081,1,INT:ProduzentE20:C,V,C,1.340689049485173,6.733897899323909
13527972081,1,INT:ProduzentE19:C,V,C,1.340689049485173,6.738938391404132
13527972081,1,INT:ProduzentE15:C,V,C,1.340689049485173,6.792462035125789
13527972081,1,INT:ProduzentE18:C,V,C,1.340689049485173,6.8311993270072575
13527972081,1,INT:ProduzentE14:C,V,C,1.340689049485173,6.834159651357283
13527972081,1,INT:ProduzentE16:C,V,C,1.340689049485173,6.853723333902283
13527972081,2,INT:KonsumentE2:A,K,A,1.6409305616392635,7.632813571028525
13527972081,2,INT:KonsumentE1:A,K,A,3.2344817491419553,7.656247234111285
13527972081,2,INT:KonsumentE4:A,K,A,3.2344817491419553,7.687852112090781
13527972081,2,INT:KonsumentE0:A,K,A,3.2344817491419553,7.777979686844349
13527972081,2,INT:KonsumentE3:A,K,A,1.6409305616392635,7.796285040822148
13527972081,2,G14A:Agent1,K,A,2.0,12.0
13527972081,2,INT:ProduzentS0:A,V,A,0.6703445247425865,6.993576460087159
13527972081,2,INT:ProduzentE5:A,V,A,0.6703445247425868,7.618902629819655
13527972081,2,INT:ProduzentE0:A,V,A,0.6703445247425868,7.66946151391364
13527972081,2,INT:ProduzentE3:A,V,A,0.6703445247425863,7.688907991246226
13527972081,2,INT:ProduzentE2:A,V,A,0.6703445247425865,7.714123486578193
13527972081,2,INT:ProduzentE6:A,V,A,0.6703445247425868,7.770419501797052
13527972081,2,INT:ProduzentE1:A,V,A,0.6703445247425868,7.781779343482645
13527972081,2,INT:ProduzentE4:A,V,A,1.340689049485173,7.9166376063325945
13527972081,2,G14A:Agent1,V,A,1.3648801523136722,12.0
13527972081,2,INT:KonsumentE9:B,K,B,3.0858205853238476,5.58219095387563
13527972081,2,INT:KonsumentE7:B,K,B,3.0858205853238467,5.593299123374544
13527972081,2,INT:KonsumentE8:B,K,B,3.0858205853238476,5.614619155916079
13527972081,2,INT:KonsumentE5:B,K,B,3.234481749141955,5.706595261252284
13527972081,2,INT:KonsumentE6:B,K,B,3.234481749141955,5.72113532070498
13527972081,2,G14A:Agent1,K,B,2.0,8.0
13527972081,2,INT:ProduzentS1:B,V,B,0.6703445247425864,5.076387332586603
13527972081,2,INT:ProduzentE13:B,V,B,0.6703445247425863,5.606422895074785
13527972081,2,INT:ProduzentE9:B,V,B,0.6703445247425865,5.619191053148201
13527972081,2,INT:ProduzentE8:B,V,B,0.6703445247425865,5.640574617697522
13527972081,2,INT:ProduzentE11:B,V,B,0.6703445247425861,5.657233105923316
13527972081,2,INT:ProduzentE7:B,V,B,0.6703445247425864,5.673794400404908
13527972081,2,INT:ProduzentE10:B,V,B,0.6703445247425865,5.693931667761156
13527972081,2,INT:ProduzentE12:B,V,B,1.3406890494851729,5.740271887115175
13527972081,2,G25A:Diablo,K,C,1.0,2.999999999999999
13527972081,2,G25A:Diablo,K,C,1.0,3.1999999999999993
13527972081,2,G25A:Diablo,K,C,1.0,3.3999999999999995
13527972081,2,G25A:Diablo,K,C,1.0,3.5999999999999996
13527972081,2,G25A:Diablo,K,C,1.0,3.8
13527972081,2,G25A:Diablo,K,C,1.0,4.0
13527972081,2,INT:KonsumentE14:C,K,C,3.7442423352533565,6.636612082320469
13527972081,2,INT:KonsumentE11:C,K,C,3.7442423352533565,6.684960621533634
13527972081,2,INT:KonsumentE13:C,K,C,3.7442423352533565,6.725686519390723
13527972081,2,INT:KonsumentE12:C,K,C,3.97930899885594,6.726955713244631
13527972081,2,INT:KonsumentE10:C,K,C,3.97930899885594,6.742644877744855
13527972081,2,INT:ProduzentS2:C,V,C,1.340689049485173,6.251430283564342
13527972081,2,INT:ProduzentE17:C,V,C,1.340689049485173,6.715267075231582
13527972081,2,INT:ProduzentE20:C,V,C,1.3406890494851726,6.7275969042745825
13527972081,2,INT:ProduzentE19:C,V,C,1.3406890494851735,6.770771162082076
13527972081,2,INT:ProduzentE14:C,V,C,2.681378098970346,6.866046359281879
13527972081,2,INT:ProduzentE18:C,V,C,2.681378098970346,6.870414021787352
13527972081,2,INT:ProduzentE15:C,V,C,2.681378098970346,6.874394386344138
13527972081,2,INT:ProduzentE16:C,V,C,2.681378098970346,6.9461105397670195
13527972081,3,INT:KonsumentE2:A,K,A,2.758171436210241,7.6113570437600355
13527972081,3,INT:KonsumentE0:A,K,A,2.4595738772147575,7.69056903044385
13527972081,3,INT:KonsumentE1:A,K,A,4.3517226237129325,7.736037854951544
13527972081,3,INT:KonsumentE4:A,K,A,4.3517226237129325,7.740033817944828
13527972081,3,INT:KonsumentE3:A,K,A,1.7982387650427678,7.8504573453586275
13527972081,3,G14A:Agent1,K,A,2.0,12.0
13527972081,3,INT:ProduzentS0:A,V,A,0.6703445247425865,6.993576460087159
13527972081,3,INT:ProduzentE0:A,V,A,0.6703445247425868,7.630671343779688
13527972081,3,INT:ProduzentE2:A,V,A,0.6703445247425868,7.682816657691861
13527972081,3,INT:ProduzentE4:A,V,A,2.01103357422776,7.788101003223975
13527972081,3,INT:ProduzentE1:A,V,A,1.3406890494851733,7.791401600408148
13527972081,3,INT:ProduzentE5:A,V,A,0.6703445247425865,7.7956698851105735
13527972081,3,INT:ProduzentE3:A,V,A,0.6703445247425865,7.879191651249076
13527972081,3,INT:ProduzentE6:A,V,A,0.6703445247425861,7.93360553662994
13527972081,3,G14A:Agent1,V,A,1.4267227970815202,12.0
13527972081,3,INT:KonsumentE7:B,K,B,4.203061459894824,5.535906803637473
13527972081,3,INT:KonsumentE5:B,K,B,2.5595883301248925,5.549567441685182
13527972081,3,INT:KonsumentE9:B,K,B,4.203061459894825,5.6268724734185245
13527972081,3,G36A:Reaktion,K,B,55.20645486642528,5.706595261252284
13527972081,3,INT:KonsumentE6:B,K,B,2.5595883301248925,5.734455167799869
13527972081,3,INT:KonsumentE8:B,K,B,4.203061459894825,5.756766689869387
13527972081,3,G14A:Agent1,K,B,2.0,8.0
